ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Hidden_Customer_Category,Segmentation
467323.0,Male,Yes,52.0,Yes,Artist,7.0,Average,4.0,Cat_6,B
462453.0,Male,No,22.0,No,Engineer,9.0,Low,5.0,Cat_6,B
465030.0,Male,Yes,35.0,Yes,Engineer,9.0,High,4.0,Cat_6,A
459030.0,Male,Yes,46.0,No,Artist,6.0,High,6.0,Cat_6,B
463672.0,Male,No,32.0,Yes,Entertainment,1.0,Low,3.0,Cat_6,D
467427.0,Female,Yes,37.0,Yes,Executive,8.0,High,2.0,Cat_6,A
465215.0,Male,Yes,39.0,Yes,Teacher,9.0,High,5.0,Cat_2,B
460596.0,Male,No,29.0,No,Homemaker,0.0,Low,5.0,Cat_3,D
465967.0,Male,Yes,36.0,No,Doctor,6.0,Low,3.0,Cat_6,B
461335.0,Male,Yes,51.0,No,Artist,9.0,High,2.0,Cat_6,B
463693.0,Male,Yes,35.0,Yes,Engineer,9.0,High,3.0,Cat_6,B
461479.0,Female,Yes,51.0,Yes,Doctor,1.0,Average,3.0,Cat_6,B
466220.0,Male,No,42.0,Yes,Engineer,8.0,Low,1.0,Cat_2,B
463022.0,Male,Yes,60.0,Yes,Engineer,4.0,High,3.0,Cat_6,B
460109.0,Male,Yes,46.0,Yes,Entertainment,8.0,Average,2.0,Cat_6,B
464503.0,Male,No,25.0,Yes,Doctor,9.0,Low,3.0,Cat_6,B
466299.0,Female,Yes,40.0,Yes,Doctor,0.0,Low,2.0,Cat_2,C
459304.0,Male,Yes,43.0,,Lawyer,8.0,Average,2.0,Cat_6,B
465178.0,Female,Yes,89.0,Yes,Doctor,,High,2.0,Cat_6,B
461103.0,Female,No,30.0,No,Teacher,1.0,Low,5.0,Cat_3,C
461038.0,Female,Yes,49.0,Yes,Engineer,1.0,High,5.0,Cat_3,B
459218.0,Male,Yes,88.0,Yes,Lawyer,0.0,High,3.0,Cat_6,B
459425.0,Female,Yes,87.0,Yes,Engineer,0.0,High,2.0,Cat_6,B
466878.0,Male,Yes,38.0,No,Doctor,8.0,High,5.0,Cat_6,A
467876.0,Female,Yes,47.0,Yes,Teacher,8.0,High,2.0,Cat_6,B
459800.0,Female,No,37.0,No,Homemaker,0.0,High,1.0,Cat_6,C
467451.0,Female,Yes,47.0,Yes,Teacher,0.0,Low,1.0,Cat_1,D
467341.0,Male,No,35.0,Yes,Executive,3.0,Low,1.0,Cat_6,C
463914.0,Female,Yes,27.0,No,Lawyer,1.0,Low,2.0,Cat_6,D
464344.0,Female,Yes,58.0,Yes,Homemaker,1.0,Low,1.0,Cat_6,D
462691.0,Male,Yes,25.0,No,Executive,1.0,Average,2.0,Cat_4,D
466593.0,Male,Yes,70.0,Yes,Artist,0.0,High,3.0,Cat_6,C
,Female,Yes,47.0,No,Teacher,7.0,High,1.0,Cat_6,B
466325.0,Female,No,25.0,No,Engineer,1.0,Low,2.0,Cat_3,D
465923.0,Female,No,30.0,Yes,Executive,9.0,Low,5.0,Cat_6,B
461240.0,Female,No,45.0,No,Homemaker,1.0,Low,1.0,Cat_6,D
459929.0,Male,Yes,63.0,Yes,Teacher,0.0,Low,2.0,Cat_6,C
462025.0,Male,No,,No,Artist,2.0,Low,,Cat_4,D
466713.0,Female,Yes,69.0,Yes,Doctor,1.0,High,4.0,Cat_6,B
461350.0,Male,No,30.0,No,Teacher,1.0,Low,4.0,Cat_2,D
465984.0,Male,Yes,23.0,No,Lawyer,8.0,High,5.0,Cat_6,A
459654.0,Male,Yes,51.0,Yes,Teacher,5.0,Average,3.0,Cat_6,D
465777.0,Male,No,30.0,Yes,Entertainment,9.0,Low,5.0,Cat_6,B
462782.0,Male,Yes,57.0,Yes,Engineer,7.0,High,2.0,Cat_4,B
466581.0,Female,Yes,43.0,Yes,Engineer,9.0,High,4.0,Cat_6,A
462336.0,Male,Yes,46.0,No,Doctor,1.0,High,4.0,Cat_6,B
465043.0,Male,Yes,48.0,Yes,Lawyer,9.0,Average,5.0,Cat_6,A
464860.0,Male,Yes,51.0,No,Artist,1.0,Average,3.0,Cat_4,C
459209.0,Female,No,21.0,No,Artist,1.0,Low,4.0,Cat_6,D
