abdt,tg,inuidur1,inuidur2,female,black,hispanic,othrace,dep,q1,q2,q3,q4,q5,q6,recall,agelt35,agegt54,durable,nondurable,lusd,husd,muld
10824,0,18.0,18,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10635,2,7.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
10551,5,18.0,6,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
10824,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10747,0,27.0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10544,6,7.0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10845,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
10670,3,3.0,3,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1
10768,3,28.0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10754,2,20.0,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10712,3,6.0,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1
10607,4,9.0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
10831,0,27.0,27,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
10845,0,27.0,27,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
10831,0,9.0,9,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
10551,3,27.0,27,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
10859,0,27.0,27,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10740,1,15.0,15,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10537,1,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
10663,6,26.0,26,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
10656,5,30.0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10628,2,27.0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10516,0,15.0,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10803,2,3.0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10663,0,28.0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
10747,0,12.0,12,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1
10551,4,32.21020000000001,22,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1
10635,2,17.0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10761,2,13.0,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
10586,1,8.0,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10859,1,27.0,27,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10768,0,18.0,18,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
10537,0,1.0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10768,5,27.0,27,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
10845,3,25.0,25,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
10789,2,34.0,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0
10705,6,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10775,2,11.0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10600,4,8.470000000000002,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10572,1,9.0,9,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
10649,6,17.0,17,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
10866,3,41.0,41,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
10866,0,18.0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
10558,2,1.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
10747,2,29.0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
10642,2,5.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10642,6,5.0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10614,2,4.0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10572,0,14.0,14,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10663,0,5.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
10684,3,31.0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10656,2,4.0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
10866,2,27.0,27,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
10656,6,27.0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10614,2,3.0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10880,2,27.0,27,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
10565,5,33.0,33,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10789,0,9.0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
10768,0,3.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10649,0,27.0,27,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10670,4,32.67000000000001,27,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
10600,6,27.0,27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10796,0,10.0,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
10873,5,27.0,27,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
10558,0,25.0,25,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0
10691,2,9.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
10593,5,27.0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10649,2,14.0,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
10866,3,4.0,4,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0
10621,6,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
10607,2,2.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10831,4,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10810,4,3.0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
10677,2,6.0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10551,4,13.0,13,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0
10733,5,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
10796,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
10712,3,15.0,15,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
10768,2,15.0,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10607,6,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
10719,0,27.0,27,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
10726,4,14.0,14,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0
10607,5,28.0,28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
10593,1,11.0,11,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
10593,5,8.0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
10845,0,18.0,18,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
10558,2,20.0,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10803,2,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10852,2,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10705,6,9.0,9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
10831,5,27.0,27,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0
10663,6,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
10684,1,5.0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10684,2,21.0,21,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
10761,3,2.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10600,6,6.0,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
10544,2,12.0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10698,3,2.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10411,5,4.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
10698,1,3.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
10782,0,4.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
10733,4,1.2100000000000002,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
10621,0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
10831,4,13.310000000000002,11,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0
10607,1,8.0,8,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
10593,3,27.0,27,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10845,5,27.0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
10523,0,28.0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
10782,3,9.0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10726,0,27.0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10628,2,20.0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10719,6,8.0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10530,5,10.0,10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
