experiment_id,dataset_split,experiment_area,intervention_type,target_segment,ux_disruption_score,implementation_cost_index,team_owner,experiment_month,analyst_tenure_months,control_mean_profit,treatment_mean_profit,control_sd_profit,treatment_sd_profit,n_control,n_treatment,se_control_mean,se_treatment_mean,diff_in_means,se_diff_in_means,p_value_ate_zero,future_deploy_scale
3,train,product_page,discount_offer,all_users,2,4,growth,2,46,0.34044237461645194,0.6131658082934354,8.094853561849648,8.915092265083137,5770,3591,0.10656659514433608,0.14877095114646915,0.27272343367698343,0.18300064236412383,0.13619351205347444,527458
4,train,email_marketing,small_ui_tweak,all_users,3,4,growth,7,48,0.6756885534715023,0.4639590961035928,8.022573228247195,7.942999492982857,2241,2207,0.1694699735449565,0.1690765464028341,-0.21172945736790943,0.2393887016482565,0.37649639119261336,280484
5,train,homepage,copy_tweak,returning_users,2,1,ml_foundations,8,145,0.20210607768305566,0.4047183452667925,7.905023328342016,7.233150917104201,4108,5722,0.12333545446682133,0.09562107015690997,0.20261226758373685,0.15606096048176193,0.19422377311493935,446816
6,train,mobile_app,ranking_algorithm,new_users,6,6,growth,6,14,0.6742691045436561,0.372914088207825,7.844505491169637,7.786409844126082,2883,1582,0.14609765667697702,0.19576453621993317,-0.30135501633583106,0.24427091297964515,0.21740630423816143,420945
7,train,recommendations,copy_tweak,returning_users,3,3,core_product,12,77,0.12308274005599806,0.4387789132621882,8.170359943432153,7.824735285061064,4674,3319,0.1195079607201549,0.13582071983504906,0.31569617320619014,0.18091274308903998,0.08102348873054356,158027
8,train,search,small_ui_tweak,new_users,3,4,growth,7,38,0.4043111032701193,0.31353670070783585,8.052152879764169,8.51507134276084,3666,3546,0.13298901873855917,0.14299436562001777,-0.09077440256228347,0.19527792426210433,0.6420550098886104,465475
9,train,homepage,ranking_algorithm,new_users,6,7,core_product,10,10,0.13373018084767457,0.43006134515217576,7.90198481778401,8.83139702733763,4385,5718,0.11933048124355038,0.11679045058760323,0.2963311643045012,0.16697237227239936,0.0759730289507189,96832
10,train,homepage,recommendation_logic,all_users,6,6,crm,2,55,0.4162463337670081,0.5047880270653966,8.003265384231703,8.252377216690913,6276,4550,0.10102427691816943,0.12234137945403559,0.08854169329838851,0.15866101491404655,0.5768192899057611,1090607
11,train,search,recommendation_logic,all_users,6,7,growth,11,90,0.4776095355407161,0.5617401611379216,7.947963542898581,7.925205755888502,7190,5362,0.09373276344411992,0.10822987116217372,0.08413062559720547,0.14317659010694475,0.5568119944843886,597396
12,train,mobile_app,major_ui_redesign,price_sensitive,8,9,core_product,1,51,0.6638442023226445,0.13940358414709464,7.9580510421114505,7.4444370416176335,1423,634,0.21096201759173297,0.29565636456785005,-0.5244406181755499,0.36320470643406055,0.14900221007642134,182941
13,train,product_page,copy_tweak,returning_users,3,2,ops,12,83,0.12036598990513186,0.4481282936168784,7.854165259713168,7.733503936643026,3492,2657,0.13291160961292434,0.15003083755035385,0.3277623037117465,0.2004363943647936,0.10205265040914721,422938
14,train,homepage,ranking_algorithm,all_users,3,8,ml_foundations,10,23,0.44075810573278096,0.1672705996397065,7.997108014629858,9.463064311759272,5331,2663,0.10952887342265166,0.18337756786266943,-0.2734875060930745,0.21359753394752287,0.20047351949074482,1792182
15,train,search,major_ui_redesign,new_users,7,8,core_product,5,62,0.43768004040310643,0.627374598663107,8.124563904629182,9.132014919670004,3411,1976,0.13911027184906463,0.20543438781987028,0.18969455826000053,0.2481027114580684,0.44456940110957344,923355
16,train,recommendations,copy_tweak,price_sensitive,4,1,core_product,10,29,0.5711173624384352,0.2948503285356741,8.017489714323611,8.1545665582342,2398,1707,0.1637245562674483,0.19737135436710432,-0.27626703390276114,0.2564394311522273,0.2814093078050826,173293
19,train,checkout,small_ui_tweak,returning_users,3,2,crm,2,13,0.09626960853033545,0.5835663095647146,7.946479745220031,8.073530258610123,4011,2947,0.125472470677153,0.14872138093483506,0.4872967010343791,0.19458003506267887,0.012292733120270362,674550
20,train,product_page,major_ui_redesign,new_users,6,9,core_product,4,50,0.3485686526398991,0.7600984665394435,8.033970859880817,7.990216417138152,2297,1141,0.16762923172416716,0.23654606085673813,0.41152981389954435,0.2899199859190018,0.1559012883800658,176971
21,train,product_page,recommendation_logic,all_users,4,5,core_product,9,11,0.23090863364952774,0.40601423598827585,8.053414723547474,7.290892520996399,4762,3145,0.11670389981907248,0.13000808798702382,0.1751056023387481,0.17470518931909787,0.31623641387296936,1441692
22,train,product_page,small_ui_tweak,all_users,2,3,ops,1,8,0.58285972931891,0.2204430906086155,8.10030420263622,8.533101093825286,7513,10492,0.09345329844606533,0.0833062815729307,-0.36241663871029445,0.12519367212426422,0.00379834824058432,739596
23,train,search,copy_tweak,all_users,2,2,platform,10,68,0.39906674549297355,0.5161118368070926,8.063033739487723,6.892152040674097,7359,8086,0.09399160715475804,0.07664573281736288,0.11704509131411905,0.12128062736746105,0.33452250955389007,2307031
24,train,product_page,major_ui_redesign,returning_users,8,9,core_product,9,37,0.3819646458861503,0.5325298473384715,8.040686631278794,11.2224693360871,5197,1460,0.11153643991876755,0.2937054460521551,0.15056520145232122,0.3141707600500852,0.6318185380318189,402870
25,train,homepage,copy_tweak,all_users,3,3,core_product,8,34,0.39886914058909595,0.3722189339425127,8.108380247934047,7.661512683589716,5853,8062,0.10598510757826492,0.0853283068244235,-0.02665020664658324,0.1360652893793981,0.84472037235062,1394008
26,train,search,copy_tweak,all_users,1,4,core_product,2,26,0.2989046528855936,0.3919433748453889,8.065767556893503,7.736341149458577,9400,9152,0.0831920402556484,0.08086816841154759,0.09303872195979529,0.11601972342725114,0.42260858686398706,554161
27,train,recommendations,recommendation_logic,new_users,5,6,ops,8,24,0.6504918431801613,0.4665411352378269,8.068731302111358,10.762480446234042,1624,1487,0.2002222054191324,0.27909810718360334,-0.18395070794233437,0.34348898814426554,0.592322696799406,312150
29,train,recommendations,notification_strategy,high_value_users,3,3,ml_foundations,4,16,0.5292899222525725,0.4733285608875843,8.214397882148914,7.228437927817676,1039,1558,0.2548402140802475,0.18313052030928756,-0.05596136136498825,0.31381574559160785,0.8584851481780409,100050
30,train,mobile_app,checkout_flow_change,all_users,8,5,crm,6,36,0.44282897340898275,-0.1258641960235478,7.917501819349517,10.092536195778399,3036,2721,0.14369355460440614,0.19347998486558202,-0.5686931694325306,0.24100278458647587,0.018327081730167276,1015151
31,train,search,recommendation_logic,all_users,2,5,ml_foundations,8,21,0.41122279311622495,0.4698351117470425,7.932727314172293,6.771700052973501,7214,5048,0.09339732909120936,0.09530990573611207,0.05861231863081756,0.13344301859894445,0.6605021717319686,1617107
32,train,recommendations,checkout_flow_change,mobile_only,6,6,growth,8,25,0.3743332970211943,0.8587496009682292,7.936993032657226,7.938654121021403,2519,1927,0.15814006585593657,0.18084479902763348,0.4844163039470349,0.2402355547463054,0.04382023793460374,80218
